//	Event Flags					
0x000	_UNUSED					
0x0EC						
0x0ED						
0x0EE						
0x0EF						
0x0F0						
0x0F1						
0x0F2						
0x0F3						
0x0F4						
0x0F5						
0x0F6						
0x0F7						
0x0F8						
0x0F9						
0x0FA	PKMN GIFT			Purchased Magikarp		
0x0FB						
0x0FC						
0x0FD						
0x0FE						
0x0FF						
0x100	IN-GAME TRADE			Traded for Gigalith on Route 7		
0x101						
0x102						
0x103	IN-GAME TRADE			Traded for Rotom on Route 15		
0x104						
0x105						
0x106						
0x107						
0x108						
0x109						
0x10A						
0x10B						
0x10C						
0x10D						
0x10E						
0x10F						
0x110						
0x111						
0x112						
0x113						
0x114						
0x115						
0x116						
0x117						
0x118						
0x119						
0x11A						
0x11B						
0x11C						
0x11D						
0x11E						
0x11F						
0x120						
0x121	PKMN GIFT			Received N's Zorua		
0x122						
0x123						
0x124						
0x125						
0x126						
0x127	ITEM GIFT	Undella Town	PokéCenter	Prism Scale from man		
0x128						
0x129						
0x12A						
0x12B						
0x12C	STATIC ENCOUNTER			Virizion (Rematch, Level +20)		
0x12D						
0x12E	STATIC ENCOUNTER			Cobalion (Rematch, Level +20)		
0x12F						
0x130						
0x131						
0x132						
0x133						
0x134						
0x135						
0x136						
0x137						
0x138						
0x139						
0x13A						
0x13B						
0x13C						
0x13D						
0x13E						
0x13F						
0x140						
0x141						
0x142						
0x143						
0x144						
0x145						
0x146						
0x147						
0x148						
0x149	STATIC ENCOUNTER			Terrakion (Rematch, Level +20)		
0x14A						
0x14B						
0x14C						
0x14D						
0x14E						
0x14F						
0x150						
0x151						
0x152						
0x153						
0x154						
0x155						
0x156						
0x157						
0x158						
0x159						
0x15A						
0x15B						
0x15C						
0x15D						
0x15E						
0x15F						
0x160						
0x161						
0x162						
0x163						
0x164						
0x165						
0x166						
0x167						
0x168						
0x169						
0x16A						
0x16B						
0x16C						
0x16D						
0x16E						
0x16F						
0x170						
0x171						
0x172						
0x173						
0x174						
0x175						
0x176						
0x177						
0x178						
0x179						
0x17A						
0x17B						
0x17C						
0x17D						
0x17E						
0x17F						
0x180	ITEM GIFT	Route 11		Favored Mail from woman in trailer		
0x181						
0x182						
0x183						
0x184						
0x185						
0x186						
0x187						
0x188						
0x189						
0x18A	PKMN GIFT			Received Eevee Gift		
0x18B						
0x18C						
0x18D						
0x18E						
0x18F						
0x190						
0x191						
0x192						
0x193	STATIC ENCOUNTER			Volcarona Captured (Level 35/65)		
0x194	EVENT			Volcarona Defeated (Level 35)		
0x195	IN-GAME TRADE			Traded for Tangrowth in Humilau City		
0x196						
0x197						
0x198						
0x199						
0x19A						
0x19B						
0x19C	IN-GAME TRADE			Traded for Petilil/Cottonee on Route 4		
0x19D						
0x19E	ITEM GIFT	Undella Town		HM06 (Dive) from Hugh		
0x19F						
0x1A0						
0x1A1						
0x1A2						
0x1A3						
0x1A4						
0x1A5						
0x1A6						
0x1A7						
0x1A8						
0x1A9						
0x1AA	PKMN GIFT			Received Deerling Gift		
0x1AB						
0x1AC						
0x1AD						
0x1AE						
0x1AF	IN-GAME TRADE			Traded for Ambipom in Accumula Town		
0x1B0	IN-GAME TRADE			Traded for Alakazam in Accumula Town		
0x1B1	TRAINER BATTLE			Battled Lass Diana 1st Time (Can Trade for Alakazam)		
0x1B2	TRAINER BATTLE			Battled Lass Diana 2nd Time		
0x1B3						
0x1B4						
0x1B5	PKMN GIFT			Received Happiny Egg Gift		
0x1B6						
0x1B7						
0x1B8						
0x1B9						
0x1BA						
0x1BB						
0x1BC						
0x1BD	ITEM GIFT			Chose Cover/Plume Fossil from Lenora		
0x1BE						
0x1BF						
0x1C0	ITEM GIFT	PWT	Exterior	Rocky Helmet from worker		
0x1C1						
0x1C2						
0x1C3						
0x1C4						
0x1C5						
0x1C6						
0x1C7						
0x1C8						
0x1C9						
0x1CA						
0x1CB						
0x1CC						
0x1CD						
0x1CE						
0x1CF						
0x1D0						
0x1D1						
0x1D2						
0x1D3						
0x1D4						
0x1D5						
0x1D6						
0x1D7						
0x1D8						
0x1D9						
0x1DA						
0x1DB						
0x1DC						
0x1DD						
0x1DE						
0x1DF						
0x1E0						
0x1E1						
0x1E2						
0x1E3						
0x1E4						
0x1E5						
0x1E6						
0x1E7						
0x1E8						
0x1E9						
0x1EA						
0x1EB						
0x1EC						
0x1ED						
0x1EE						
0x1EF						
0x1F0						
0x1F1						
0x1F2						
0x1F3						
0x1F4						
0x1F5						
0x1F6						
0x1F7						
0x1F8						
0x1F9						
0x1FA						
0x1FB						
0x1FC						
0x1FD						
0x1FE						
0x1FF						
0x200						
0x201						
0x202						
0x203						
0x204						
0x205						
0x206						
0x207						
0x208						
0x209						
0x20A						
0x20B						
0x20C						
0x20D						
0x20E						
0x20F						
0x210						
0x211						
0x212						
0x213						
0x214						
0x215						
0x216						
0x217						
0x218						
0x219						
0x21A						
0x21B						
0x21C						
0x21D						
0x21E						
0x21F						
0x220						
0x221						
0x222						
0x223						
0x224						
0x225						
0x226						
0x227						
0x228						
0x229						
0x22A						
0x22B						
0x22C						
0x22D						
0x22E						
0x22F						
0x230						
0x231						
0x232						
0x233						
0x234						
0x235						
0x236						
0x237						
0x238						
0x239						
0x23A						
0x23B						
0x23C						
0x23D						
0x23E						
0x23F						
0x240						
0x241						
0x242						
0x243						
0x244						
0x245						
0x246						
0x247						
0x248						
0x249						
0x24A						
0x24B						
0x24C						
0x24D						
0x24E						
0x24F						
0x250						
0x251						
0x252						
0x253						
0x254						
0x255						
0x256						
0x257						
0x258						
0x259						
0x25A						
0x25B						
0x25C						
0x25D						
0x25E						
0x25F						
0x260						
0x261						
0x262						
0x263						
0x264						
0x265						
0x266						
0x267						
0x268						
0x269						
0x26A						
0x26B						
0x26C						
0x26D						
0x26E						
0x26F						
0x270						
0x271						
0x272						
0x273						
0x274						
0x275						
0x276						
0x277						
0x278						
0x279						
0x27A						
0x27B						
0x27C						
0x27D						
0x27E						
0x27F						
0x280						
0x281						
0x282						
0x283						
0x284						
0x285						
0x286						
0x287						
0x288						
0x289						
0x28A						
0x28B						
0x28C						
0x28D						
0x28E						
0x28F						
0x290						
0x291						
0x292						
0x293						
0x294						
0x295						
0x296						
0x297						
0x298						
0x299						
0x29A						
0x29B	STATIC ENCOUNTER			Reshiram/Zekrom Disappeared		
0x29C						
0x29D						
0x29E						
0x29F	SIDE EVENT	Nimbasa City		Dropped Item		
0x2A0						
0x2A1						
0x2A2						
0x2A3						
0x2A4						
0x2A5						
0x2A6						
0x2A7						
0x2A8						
0x2A9						
0x2AA						
0x2AB						
0x2AC						
0x2AD						
0x2AE						
0x2AF						
0x2B0						
0x2B1						
0x2B2						
0x2B3						
0x2B4						
0x2B5						
0x2B6						
0x2B7						
0x2B8						
0x2B9						
0x2BA						
0x2BB						
0x2BC						
0x2BD						
0x2BE						
0x2BF						
0x2C0						
0x2C1						
0x2C2						
0x2C3						
0x2C4						
0x2C5						
0x2C6						
0x2C7						
0x2C8						
0x2C9						
0x2CA						
0x2CB						
0x2CC						
0x2CD						
0x2CE						
0x2CF						
0x2D0						
0x2D1						
0x2D2						
0x2D3						
0x2D4						
0x2D5						
0x2D6						
0x2D7						
0x2D8						
0x2D9						
0x2DA						
0x2DB						
0x2DC						
0x2DD						
0x2DE						
0x2DF						
0x2E0						
0x2E1						
0x2E2						
0x2E3						
0x2E4						
0x2E5						
0x2E6						
0x2E7						
0x2E8						
0x2E9						
0x2EA						
0x2EB						
0x2EC						
0x2ED						
0x2EE						
0x2EF						
0x2F0						
0x2F1						
0x2F2						
0x2F3						
0x2F4						
0x2F5						
0x2F6						
0x2F7						
0x2F8						
0x2F9						
0x2FA						
0x2FB						
0x2FC						
0x2FD						
0x2FE						
0x2FF						
0x300						
0x301						
0x302						
0x303						
0x304						
0x305						
0x306						
0x307						
0x308						
0x309						
0x30A						
0x30B						
0x30C						
0x30D						
0x30E						
0x30F						
0x310						
0x311						
0x312						
0x313						
0x314						
0x315						
0x316						
0x317						
0x318						
0x319						
0x31A						
0x31B						
0x31C						
0x31D						
0x31E						
0x31F						
0x320						
0x321	STATIC ENCOUNTER			Virizion Disappeared		
0x322	STATIC ENCOUNTER			Cobalion Disappeared		
0x323						
0x324						
0x325						
0x326						
0x327						
0x328						
0x329						
0x32A	STATIC ENCOUNTER			Terrakion Disappeared		
0x32B						
0x32C						
0x32D						
0x32E						
0x32F						
0x330						
0x331						
0x332						
0x333						
0x334						
0x335						
0x336						
0x337						
0x338						
0x339						
0x33A						
0x33B						
0x33C						
0x33D						
0x33E						
0x33F						
0x340						
0x341						
0x342						
0x343						
0x344						
0x345						
0x346						
0x347						
0x348						
0x349						
0x34A						
0x34B						
0x34C						
0x34D						
0x34E						
0x34F						
0x350						
0x351						
0x352						
0x353						
0x354	ITEM GIFT	Castelia City	Battle Company (1F)	Exp. Share from President		
0x355						
0x356						
0x357						
0x358						
0x359						
0x35A						
0x35B						
0x35C						
0x35D						
0x35E						
0x35F						
0x360						
0x361						
0x362						
0x363						
0x364						
0x365						
0x366						
0x367						
0x368						
0x369						
0x36A						
0x36B						
0x36C						
0x36D						
0x36E						
0x36F						
0x370						
0x371						
0x372						
0x373						
0x374						
0x375						
0x376						
0x377						
0x378						
0x379						
0x37A						
0x37B						
0x37C						
0x37D						
0x37E						
0x37F						
0x380						
0x381	STATIC ENCOUNTER			Cresselia Disappeared		
0x382						
0x383	SIDE EVENT	Strange House		Lunar Wing		
0x384	STATIC ENCOUNTER			Heatran Disappeared		
0x385						
0x386						
0x387						
0x388						
0x389						
0x38A						
0x38B						
0x38C						
0x38D						
0x38E						
0x38F						
0x390						
0x391						
0x392						
0x393						
0x394						
0x395						
0x396	STATIC ENCOUNTER			Uxie Disappeared		
0x397	STATIC ENCOUNTER			Mesprit Disappeared		
0x398	STATIC ENCOUNTER			Azelf Disappeared		
0x399	STATIC ENCOUNTER			Regice Disappeared		
0x39A	STATIC ENCOUNTER			Regirock Disappeared		
0x39B	STATIC ENCOUNTER			Registeel Disappeared		
0x39C	STATIC ENCOUNTER			Regigigas Disappeared		
0x39D						
0x39E						
0x39F						
0x3A0	STATIC ENCOUNTER			Volcarona Disappeared		
0x3A1	STATIC ENCOUNTER	Route 6		Capture/Defeat Foongus		
0x3A2						
0x3A3	STATIC ENCOUNTER	Route 6		Capture/Defeat Foongus		
0x3A4						
0x3A5						
0x3A6	STATIC ENCOUNTER	Route 11		Capture/Defeat Amoonguss		
0x3A7	STATIC ENCOUNTER	Route 11		Capture/Defeat Amoonguss		
0x3A8	STATIC ENCOUNTER	Route 22		Capture/Defeat Amoonguss		
0x3A9	STATIC ENCOUNTER	Route 22		Capture/Defeat Amoonguss		
0x3AA						
0x3AB						
0x3AC	STATIC ENCOUNTER	Route 23		Capture/Defeat Amoonguss		
0x3AD						
0x3AE						
0x3AF						
0x3B0						
0x3B1						
0x3B2	STATIC ENCOUNTER			Shiny Haxorus in Nature Preserve disappeared		
0x3B3						
0x3B4						
0x3B5						
0x3B6						
0x3B7						
0x3B8						
0x3B9						
0x3BA						
0x3BB						
0x3BC						
0x3BD						
0x3BE						
0x3BF						
0x3C0						
0x3C1						
0x3C2						
0x3C3						
0x3C4						
0x3C5						
0x3C6						
0x3C7	ITEM GIFT	Lostlorn Forest		TM95 (Snarl) from Backpacker		
0x3C8						
0x3C9						
0x3CA						
0x3CB						
0x3CC						
0x3CD						
0x3CE						
0x3CF						
0x3D0						
0x3D1						
0x3D2						
0x3D3						
0x3D4						
0x3D5						
0x3D6						
0x3D7						
0x3D8						
0x3D9						
0x3DA						
0x3DB						
0x3DC						
0x3DD						
0x3DE						
0x3DF						
0x3E0						
0x3E1						
0x3E2						
0x3E3						
0x3E4	PKMN GIFT			Benga with Shiny Gible/Dratini Gift disappeared from Alder's house		
0x3E5						
0x3E6						
0x3E7						
0x3E8						
0x3E9						
0x3EA						
0x3EB						
0x3EC	STATIC ENCOUNTER			Kyurem Disappeared		
0x3ED						
0x3EE						
0x3EF						
0x3F0						
0x3F1						
0x3F2						
0x3F3						
0x3F4						
0x3F5						
0x3F6						
0x3F7						
0x3F8						
0x3F9						
0x3FA						
0x3FB						
0x3FC						
0x3FD						
0x3FE						
0x3FF						
0x400						
0x401						
0x402						
0x403						
0x404						
0x405						
0x406						
0x407						
0x408						
0x409						
0x40A						
0x40B						
0x40C						
0x40D						
0x40E						
0x40F						
0x410						
0x411						
0x412						
0x413						
0x414						
0x415						
0x416						
0x417						
0x418						
0x419						
0x41A						
0x41B						
0x41C						
0x41D						
0x41E						
0x41F						
0x420						
0x421						
0x422						
0x423						
0x424						
0x425						
0x426						
0x427						
0x428						
0x429						
0x42A						
0x42B						
0x42C						
0x42D						
0x42E						
0x42F						
0x430						
0x431						
0x432						
0x433						
0x434						
0x435						
0x436						
0x437						
0x438						
0x439						
0x43A						
0x43B						
0x43C						
0x43D						
0x43E						
0x43F						
0x440						
0x441						
0x442						
0x443						
0x444						
0x445						
0x446						
0x447						
0x448	FIELD ITEM					000 (Flag 0x448)
0x449	FIELD ITEM					001 (Flag 0x449)
0x44A	FIELD ITEM					002 (Flag 0x44A)
0x44B	FIELD ITEM					003 (Flag 0x44B)
0x44C	FIELD ITEM	Aspertia City		TM53 (Energy Ball)		004 (Flag 0x44C)
0x44D	FIELD ITEM	Route 19		Water Stone		005 (Flag 0x44D)
0x44E	FIELD ITEM	Route 19		Nest Ball		006 (Flag 0x44E)
0x44F	FIELD ITEM	Route 20		Paralyze Heal		007 (Flag 0x44F)
0x450	FIELD ITEM	Route 20		Poké Ball		008 (Flag 0x450)
0x451	FIELD ITEM	Route 20		Antidote		009 (Flag 0x451)
0x452	FIELD ITEM	Route 20		Dire Hit		010 (Flag 0x452)
0x453	FIELD ITEM	Route 20		Rare Candy		011 (Flag 0x453)
0x454	FIELD ITEM	Route 20		Max Revive		012 (Flag 0x454)
0x455	FIELD ITEM	Route 20		Great Ball		013 (Flag 0x455)
0x456	FIELD ITEM	Route 20		Sticky Barb		014 (Flag 0x456)
0x457	FIELD ITEM	Floccesy Town		X Speed		015 (Flag 0x457)
0x458	FIELD ITEM	Victory Road	Entrance	TM01 (Hone Claws)		016 (Flag 0x458)
0x459	FIELD ITEM	Floccesy Ranch		Poké Ball		017 (Flag 0x459)
0x45A	FIELD ITEM	Floccesy Ranch		X Attack		018 (Flag 0x45A)
0x45B	FIELD ITEM	Floccesy Ranch		Potion		019 (Flag 0x45B)
0x45C	FIELD ITEM	Virbank City		Rare Candy		020 (Flag 0x45C)
0x45D	FIELD ITEM	Virbank Complex	Outside	Silk Scarf		021 (Flag 0x45D)
0x45E	FIELD ITEM	Victory Road	Entrance	Star Piece		022 (Flag 0x45E)
0x45F	FIELD ITEM	Virbank Complex	Outside	X Accuracy		023 (Flag 0x45F)
0x460	FIELD ITEM	Virbank Complex	Inside	Super Potion		024 (Flag 0x460)
0x461	FIELD ITEM	Virbank Complex	Inside	TM46 (Thief)		025 (Flag 0x461)
0x462	FIELD ITEM	Virbank City		Poké Toy		026 (Flag 0x462)
0x463	FIELD ITEM	Castelia City	Battle Company (47F)	Guard Spec.		027 (Flag 0x463)
0x464	FIELD ITEM	Castelia City	Battle Company (55F)	Ether		028 (Flag 0x464)
0x465	FIELD ITEM	Castelia City	Game Freak (22F)	Revive		029 (Flag 0x465)
0x466	FIELD ITEM	Castelia City	Building (47F)	Charcoal		030 (Flag 0x466)
0x467	FIELD ITEM	Castelia City	Prime Pier	Heart Scale		031 (Flag 0x467)
0x468	FIELD ITEM	Castelia City	Castelia Park	Miracle Seed		032 (Flag 0x468)
0x469	FIELD ITEM	Castelia City	Back Alley	Black Glasses		033 (Flag 0x469)
0x46A	FIELD ITEM	Castelia City	Back Alley	Repel		034 (Flag 0x46A)
0x46B	FIELD ITEM	Castelia Sewers		Leftovers		035 (Flag 0x46B)
0x46C	FIELD ITEM	Castelia Sewers		Twisted Spoon		036 (Flag 0x46C)
0x46D	FIELD ITEM	Castelia Sewers		Rare Bone		037 (Flag 0x46D)
0x46E	FIELD ITEM	Castelia Sewers		X Sp. Atk		038 (Flag 0x46E)
0x46F	FIELD ITEM	Castelia Sewers		X Sp. Def		039 (Flag 0x46F)
0x470	FIELD ITEM	Castelia Sewers		Pearl		040 (Flag 0x470)
0x471	FIELD ITEM	Castelia Sewers		Heart Scale		041 (Flag 0x471)
0x472	FIELD ITEM	Castelia Sewers		Black Sludge		042 (Flag 0x472)
0x473	FIELD ITEM	Castelia Sewers		TM41 (Torment)		043 (Flag 0x473)
0x474	FIELD ITEM	Relic Passage		Hard Stone		044 (Flag 0x474)
0x475	FIELD ITEM	Relic Passage		Max Repel		045 (Flag 0x475)
0x476	FIELD ITEM	Relic Passage		Rocky Helmet		046 (Flag 0x476)
0x477	FIELD ITEM	Relic Passage		Rare Candy		047 (Flag 0x477)
0x478	FIELD ITEM	Relic Passage		Ultra Ball		048 (Flag 0x478)
0x479	FIELD ITEM	Relic Passage		Big Pearl		049 (Flag 0x479)
0x47A	FIELD ITEM	Relic Passage		Protein		050 (Flag 0x47A)
0x47B	FIELD ITEM	Route 4		Stardust		051 (Flag 0x47B)
0x47C	FIELD ITEM	Route 4		TM28 (Dig)		052 (Flag 0x47C)
0x47D	FIELD ITEM	Route 4		Grip Claw (B2)		053 (Flag 0x47D)
0x47E	FIELD ITEM	Route 4		Light Clay (W2)		054 (Flag 0x47E)
0x47F	FIELD ITEM	Route 4	House	Wide Lens (B2)		055 (Flag 0x47F)
0x480	FIELD ITEM	Route 4	House	Bright Powder (W2)		056 (Flag 0x480)
0x481	FIELD ITEM	Route 4		Mystic Water		057 (Flag 0x481)
0x482	FIELD ITEM	Desert Resort		Red Shard		058 (Flag 0x482)
0x483	FIELD ITEM	Desert Resort		Blue Shard		059 (Flag 0x483)
0x484	FIELD ITEM	Desert Resort		Yellow Shard		060 (Flag 0x484)
0x485	FIELD ITEM	Desert Resort		Max Ether		061 (Flag 0x485)
0x486	FIELD ITEM	Desert Resort		Green Shard		062 (Flag 0x486)
0x487	FIELD ITEM	Desert Resort		Stardust		063 (Flag 0x487)
0x488	FIELD ITEM	Desert Resort		Heart Scale		064 (Flag 0x488)
0x489	FIELD ITEM	Desert Resort		Nugget		065 (Flag 0x489)
0x48A	FIELD ITEM	Nimbasa City		Paralyze Heal		066 (Flag 0x48A)
0x48B	FIELD ITEM	Route 16		TM66 (Payback)		067 (Flag 0x48B)
0x48C	FIELD ITEM	Route 16		Heal Ball		068 (Flag 0x48C)
0x48D	FIELD ITEM	Lostlorn Forest		Ultra Ball		069 (Flag 0x48D)
0x48E	FIELD ITEM	Lostlorn Forest		Rare Candy		070 (Flag 0x48E)
0x48F	FIELD ITEM	Lostlorn Forest		Net Ball		071 (Flag 0x48F)
0x490	FIELD ITEM	Route 5		Super Repel		072 (Flag 0x490)
0x491	FIELD ITEM	Route 5		Hyper Potion		073 (Flag 0x491)
0x492	FIELD ITEM	Driftveil City		Calcium		074 (Flag 0x492)
0x493	FIELD ITEM	PWT	Exterior	PP Up		075 (Flag 0x493)
0x494	FIELD ITEM	Route 6		Moon Stone		076 (Flag 0x494)
0x495	FIELD ITEM	Route 6		Elixir		077 (Flag 0x495)
0x496	FIELD ITEM	Route 6		Ultra Ball		078 (Flag 0x496)
0x497	FIELD ITEM	Clay Tunnel		HP Up		079 (Flag 0x497)
0x498	FIELD ITEM	Route 6		TM56 (Fling)		080 (Flag 0x498)
0x499	FIELD ITEM	Route 6		Heart Scale		081 (Flag 0x499)
0x49A	FIELD ITEM	Route 6		PP Up		082 (Flag 0x49A)
0x49B	FIELD ITEM	Mistralton Cave	1F	Yellow Shard		083 (Flag 0x49B)
0x49C	FIELD ITEM	Mistralton Cave	1F	Dusk Ball		084 (Flag 0x49C)
0x49D	FIELD ITEM	Mistralton Cave	3F	TM80 (Rock Slide)		085 (Flag 0x49D)
0x49E	FIELD ITEM	Mistralton Cave	3F	Escape Rope		086 (Flag 0x49E)
0x49F	FIELD ITEM	Clay Tunnel		Rare Bone		087 (Flag 0x49F)
0x4A0	FIELD ITEM	Mistralton Cave	2F	Hyper Potion		088 (Flag 0x4A0)
0x4A1	FIELD ITEM	Clay Tunnel		Green Shard		089 (Flag 0x4A1)
0x4A2	FIELD ITEM	Mistralton Cave	2F	Blue Shard		090 (Flag 0x4A2)
0x4A3	FIELD ITEM	Clay Tunnel		Red Shard		091 (Flag 0x4A3)
0x4A4	FIELD ITEM	Chargestone Cave	1F	Full Heal		092 (Flag 0x4A4)
0x4A5	FIELD ITEM	Chargestone Cave	1F	Hyper Potion		093 (Flag 0x4A5)
0x4A6	FIELD ITEM	Chargestone Cave	1F	Max Repel		094 (Flag 0x4A6)
0x4A7	FIELD ITEM	Victory Road	Entrance	PP Up		095 (Flag 0x4A7)
0x4A8	FIELD ITEM	Chargestone Cave	1F	Carbos		096 (Flag 0x4A8)
0x4A9	FIELD ITEM	Chargestone Cave	1F	Magnet		097 (Flag 0x4A9)
0x4AA	FIELD ITEM	Chargestone Cave	B1F	Revive		098 (Flag 0x4AA)
0x4AB	FIELD ITEM	Chargestone Cave	B1F	Iron		099 (Flag 0x4AB)
0x4AC	FIELD ITEM	Chargestone Cave	B2F	Thunder Stone		100 (Flag 0x4AC)
0x4AD	FIELD ITEM	Chargestone Cave	B2F	Escape Rope		101 (Flag 0x4AD)
0x4AE	FIELD ITEM	Chargestone Cave	B2F	Metal Coat		102 (Flag 0x4AE)
0x4AF	FIELD ITEM	Mistralton City		TM58 (Sky Drop)		103 (Flag 0x4AF)
0x4B0	FIELD ITEM	Mistralton City		Max Repel		104 (Flag 0x4B0)
0x4B1	FIELD ITEM	Route 7		Zinc		105 (Flag 0x4B1)
0x4B2	FIELD ITEM	Route 7		TM81 (X-Scissor)		106 (Flag 0x4B2)
0x4B3	FIELD ITEM	Route 7		Leaf Stone		107 (Flag 0x4B3)
0x4B4	FIELD ITEM	Route 7		Elixir		108 (Flag 0x4B4)
0x4B5	FIELD ITEM	Celestial Tower	2F	Hyper Potion		109 (Flag 0x4B5)
0x4B6	FIELD ITEM	Celestial Tower	2F	TM61 (Will-O-Wisp)		110 (Flag 0x4B6)
0x4B7	FIELD ITEM	Celestial Tower	3F	Revive		111 (Flag 0x4B7)
0x4B8	FIELD ITEM	Celestial Tower	4F	PP Up		112 (Flag 0x4B8)
0x4B9	FIELD ITEM	Celestial Tower	4F	TM65 (Shadow Claw)		113 (Flag 0x4B9)
0x4BA	FIELD ITEM	Lentimas Town		Fire Stone		114 (Flag 0x4BA)
0x4BB	FIELD ITEM	Strange House		Spell Tag		115 (Flag 0x4BB)
0x4BC	FIELD ITEM	Strange House		Rare Candy		116 (Flag 0x4BC)
0x4BD	FIELD ITEM	Strange House		Dusk Stone		117 (Flag 0x4BD)
0x4BE	FIELD ITEM	Strange House		Full Heal		118 (Flag 0x4BE)
0x4BF	FIELD ITEM	Reversal Mountain	Exterior	TM30 (Shadow Ball)		119 (Flag 0x4BF)
0x4C0	FIELD ITEM	Reversal Mountain	Exterior	Full Heal		120 (Flag 0x4C0)
0x4C1	FIELD ITEM	Reversal Mountain	Exterior	Smoke Ball		121 (Flag 0x4C1)
0x4C2	FIELD ITEM	Reversal Mountain	1F	Max Repel		122 (Flag 0x4C2)
0x4C3	FIELD ITEM	Reversal Mountain	1F	Revive		123 (Flag 0x4C3)
0x4C4	FIELD ITEM	Reversal Mountain	1F	TM69 (Rock Polish)		124 (Flag 0x4C4)
0x4C5	FIELD ITEM	Reversal Mountain	1F	PP Up		125 (Flag 0x4C5)
0x4C6	FIELD ITEM	Reversal Mountain	1F	Nugget		126 (Flag 0x4C6)
0x4C7	FIELD ITEM	Reversal Mountain	1F	Hyper Potion		127 (Flag 0x4C7)
0x4C8	FIELD ITEM	Reversal Mountain	B1F	Toxic Orb (B2)		128 (Flag 0x4C8)
0x4C9	FIELD ITEM	Reversal Mountain	B1F	Flame Orb (W2)		129 (Flag 0x4C9)
0x4CA	FIELD ITEM	Undella Town		Berry Juice		130 (Flag 0x4CA)
0x4CB	FIELD ITEM	Undella Bay		Splash Plate		131 (Flag 0x4CB)
0x4CC	FIELD ITEM	Undella Bay		Draco Plate		132 (Flag 0x4CC)
0x4CD	FIELD ITEM	Route 14		Big Pearl		133 (Flag 0x4CD)
0x4CE	FIELD ITEM	Route 14		Heart Scale		134 (Flag 0x4CE)
0x4CF	FIELD ITEM	Route 14		Max Potion		135 (Flag 0x4CF)
0x4D0	FIELD ITEM	Route 14		Nugget		136 (Flag 0x4D0)
0x4D1	FIELD ITEM	Route 13		Max Repel		137 (Flag 0x4D1)
0x4D2	FIELD ITEM	Route 13		Red Shard		138 (Flag 0x4D2)
0x4D3	FIELD ITEM	Route 13		Star Piece		139 (Flag 0x4D3)
0x4D4	FIELD ITEM	Route 13		Max Ether		140 (Flag 0x4D4)
