//	Event Flags					
0x000	_UNUSED					// FH_0
0x269						
0x26A						
0x26B						
0x26C						
0x26D						
0x26E						
0x26F						
0x270						
0x271						
0x272						
0x273						
0x274						
0x275						
0x276						
0x277						
0x278						
0x279						
0x27A						
0x27B						
0x27C						
0x27D						
0x27E						
0x27F						
0x280						
0x281						
0x282						
0x283						
0x284						
0x285						
0x286						
0x287						
0x288						
0x289						
0x28A						
0x28B						
0x28C						
0x28D						
0x28E						
0x28F						
0x290						
0x291						
0x292						
0x293						
0x294						
0x295						
0x296						
0x297	STATIC ENCOUNTER			Zapdos Disappeared		
0x298						
0x299						
0x29A						
0x29B						
0x29C						
0x29D						
0x29E						
0x29F						
0x2A0						
0x2A1	STATIC ENCOUNTER			Suicune (Route 25) Disappeared		
0x2A2						
0x2A3						
0x2A4						
0x2A5						
0x2A6						
0x2A7						
0x2A8						
0x2A9						
0x2AA						
0x2AB						
0x2AC						
0x2AD						
0x2AE						
0x2AF						
0x2B0						
0x2B1						
0x2B2						
0x2B3						
0x2B4						
0x2B5	TRAINER BATTLE			Had Whitney Rematch		
0x2B6	TRAINER BATTLE			Had Janine Rematch		
0x2B7	TRAINER BATTLE			Had Clair Rematch		
0x2B8	TRAINER BATTLE			Had Erika Rematch		
0x2B9	TRAINER BATTLE			Had Misty Rematch		
0x2BA	TRAINER BATTLE			Had Blaine Rematch		
0x2BB	TRAINER BATTLE			Had Blue Rematch		
0x2BC	TRAINER BATTLE			Had Chuck Rematch		
0x2BD	TRAINER BATTLE			Had Brock Rematch		
0x2BE	TRAINER BATTLE			Had Bugsy Rematch		
0x2BF	TRAINER BATTLE			Had Sabrina Rematch		
0x2C0	TRAINER BATTLE			Had Falkner Rematch		
0x2C1	TRAINER BATTLE			Had Lt. Surge Rematch		
0x2C2	TRAINER BATTLE			Had Morty Rematch		
0x2C3	TRAINER BATTLE			Had Jasmine Rematch		
0x2C4	TRAINER BATTLE			Had Pryce Rematch		
0x2C5						
0x2C6						
0x2C7						
0x2C8						
0x2C9						
0x2CA						
0x2CB						
0x2CC						
0x2CD						
0x2CE						
0x2CF						
0x2D0						
0x2D1	STATIC ENCOUNTER			Kyogre/Groudon Disappeared		
0x2D2	STATIC ENCOUNTER			Rayquaza Disappeared		
0x2D3						
0x2D4						
0x2D5						
0x2D6						
0x2D7						
0x2D8						
0x2D9						
0x2DA						
0x2DB						
0x2DC						
0x2DD						
0x2DE						
0x2DF						
0x2E0						
0x2E1						
0x2E2						
0x2E3						
0x2E4						
0x2E5						
0x2E6						
0x2E7						
0x2E8						
0x2E9						
0x2EA						
0x2EB						
0x2EC						
0x2ED						
0x2EE	EVENT			Bulbasaur Starter Ball Disappeared		
0x2EF	EVENT			Squirtle Starter Ball Disappeared		
0x2F0	EVENT			Charmander Starter Ball Disappeared		
0x2F1						
0x2F2						
0x2F3						
0x2F4						
0x2F5						
0x2F6						
0x2F7						
0x2F8						
0x2F9						
0x2FA	EVENT			Steven Disappeared from Silph Co.		
0x2FB						
0x2FC						
0x2FD						
0x2FE						
0x2FF						
0x300						
0x301						
0x302						
0x303						
0x304						
0x305	STATIC ENCOUNTER			Mewtwo Disappeared		
0x306	STATIC ENCOUNTER			Articuno Disappeared		
0x307	STATIC ENCOUNTER			Moltres Disappeared		
0x308						
0x309						
0x30A						
0x30B						
0x30C						
0x30D	STATIC ENCOUNTER			Latias/Latios (Pewter City) Disappeared		
0x30E	SIDE EVENT			Suicune (Back to Burned Tower) Disappeared		
0x30F						
0x310						
0x311						
0x312						
0x313						
0x314						
0x315	EVENT			Trading Functionality Disabled (Pokecenter)		
0x316						
0x317	EVENT			Steven Disappeared from Pewter Museum		
0x318						
0x319						
0x31A						
0x31B						
0x31C						
0x31D						
0x31E						
0x31F						
0x320	HIDDEN ITEM	New Bark Town		Potion		FH_HIDDEN_ITEM_0
0x321	HIDDEN ITEM	Cherrygrove City		Nugget		FH_HIDDEN_ITEM_1
0x322	HIDDEN ITEM	Route 30		Potion		FH_HIDDEN_ITEM_2
0x323	HIDDEN ITEM	Violet City		Hyper Potion		FH_HIDDEN_ITEM_3
0x324	HIDDEN ITEM	Route 32		Heart Scale		FH_HIDDEN_ITEM_4
0x325	HIDDEN ITEM	Route 32		Great Ball		FH_HIDDEN_ITEM_5
0x326	HIDDEN ITEM	Azalea Town		Full Heal		FH_HIDDEN_ITEM_6
0x327	HIDDEN ITEM	Route 34		Rare Candy		FH_HIDDEN_ITEM_7
0x328	HIDDEN ITEM	Route 35		Super Potion		FH_HIDDEN_ITEM_8
0x329	HIDDEN ITEM	Route 36		Super Potion		FH_HIDDEN_ITEM_9
0x32A	HIDDEN ITEM	Route 35		Nugget		FH_HIDDEN_ITEM_10
0x32B	HIDDEN ITEM	Route 36		Awakening		FH_HIDDEN_ITEM_11
0x32C	HIDDEN ITEM	Ecruteak City		Hyper Potion		FH_HIDDEN_ITEM_12
0x32D	HIDDEN ITEM	Ecruteak City		Ether		FH_HIDDEN_ITEM_13
0x32E	HIDDEN ITEM	Dark Cave		Poke Ball		FH_HIDDEN_ITEM_14
0x32F	HIDDEN ITEM	Dark Cave		Max Ether		FH_HIDDEN_ITEM_15
0x330	HIDDEN ITEM	Dark Cave		Max Revive		FH_HIDDEN_ITEM_16
0x331	HIDDEN ITEM	Dark Cave		Hyper Potion		FH_HIDDEN_ITEM_17
0x332	HIDDEN ITEM	Dark Cave		Elixir		FH_HIDDEN_ITEM_18
0x333	HIDDEN ITEM	Burned Tower		Ether		FH_HIDDEN_ITEM_19
0x334	HIDDEN ITEM	Burned Tower		Ultra Ball		FH_HIDDEN_ITEM_20
0x335	HIDDEN ITEM	Burned Tower		Revive		FH_HIDDEN_ITEM_21
0x336	HIDDEN ITEM	Route 38		HP Up		FH_HIDDEN_ITEM_22
0x337	HIDDEN ITEM	Olivine City		Rare Candy		FH_HIDDEN_ITEM_23
0x338	HIDDEN ITEM	Route 40		Hyper Potion		FH_HIDDEN_ITEM_24
0x339	HIDDEN ITEM	Cianwood City		Revive		FH_HIDDEN_ITEM_25
0x33A	HIDDEN ITEM	Cianwood City		Stardust		FH_HIDDEN_ITEM_26
0x33B	HIDDEN ITEM	Slowpoke Well		Great Ball		FH_HIDDEN_ITEM_27
0x33C	HIDDEN ITEM	Slowpoke Well		Super Potion		FH_HIDDEN_ITEM_28
0x33D	HIDDEN ITEM	Slowpoke Well		Full Heal		FH_HIDDEN_ITEM_29
0x33E	HIDDEN ITEM	Ilex Forest		Antidote		FH_HIDDEN_ITEM_30
0x33F	HIDDEN ITEM	Ilex Forest		Super Potion		FH_HIDDEN_ITEM_31
0x340	HIDDEN ITEM	Ilex Forest		Full Heal		FH_HIDDEN_ITEM_32
0x341	HIDDEN ITEM	Ilex Forest		Ether		FH_HIDDEN_ITEM_33
0x342	HIDDEN ITEM	National Park		Full Heal		FH_HIDDEN_ITEM_34
0x343	HIDDEN ITEM	National Park		Full Heal		FH_HIDDEN_ITEM_35
0x344	HIDDEN ITEM	Lake of Rage		Full Restore		FH_HIDDEN_ITEM_36
0x345	HIDDEN ITEM	Lake of Rage		Rare Candy		FH_HIDDEN_ITEM_37
0x346	HIDDEN ITEM	Route 20		Deepseatooth		FH_HIDDEN_ITEM_38
0x347	HIDDEN ITEM	Route 47		Stardust		FH_HIDDEN_ITEM_39
0x348	HIDDEN ITEM	Route 47		Pearl		FH_HIDDEN_ITEM_40
0x349	HIDDEN ITEM	Safari Zone Gate		Tinymushroom		FH_HIDDEN_ITEM_41
0x34A	HIDDEN ITEM	Route 42		Max Potion		FH_HIDDEN_ITEM_42
0x34B	HIDDEN ITEM	Mt. Mortar		Hyper Potion		FH_HIDDEN_ITEM_43
0x34C	HIDDEN ITEM	Mt. Mortar		Revive		FH_HIDDEN_ITEM_44
0x34D	HIDDEN ITEM	Mt. Mortar		Max Repel		FH_HIDDEN_ITEM_45
0x34E	HIDDEN ITEM	Mt. Mortar		Ether		FH_HIDDEN_ITEM_46
0x34F	HIDDEN ITEM	Mt. Mortar		Full Restore		FH_HIDDEN_ITEM_47
0x350	HIDDEN ITEM	Mt. Mortar		HP Up		FH_HIDDEN_ITEM_48
0x351	HIDDEN ITEM	Mt. Mortar		Max Revive		FH_HIDDEN_ITEM_49
0x352	HIDDEN ITEM	Mt. Mortar		Ultra Ball		FH_HIDDEN_ITEM_50
0x353	HIDDEN ITEM	Team Rocket HQ		Revive		FH_HIDDEN_ITEM_51
0x354	HIDDEN ITEM	Goldenrod Tunnel		Parlyz Heal		FH_HIDDEN_ITEM_52
0x355	HIDDEN ITEM	Goldenrod Tunnel		Super Potion		FH_HIDDEN_ITEM_53
0x356	HIDDEN ITEM	Team Rocket HQ		Full Heal		FH_HIDDEN_ITEM_54
0x357	HIDDEN ITEM	Team Rocket HQ		X Sp  Def		FH_HIDDEN_ITEM_55
0x358	HIDDEN ITEM	Diglett's Cave		Max Revive		FH_HIDDEN_ITEM_56
0x359	HIDDEN ITEM	Route 5		Full Restore		FH_HIDDEN_ITEM_57
0x35A	HIDDEN ITEM	Route 5		X Special		FH_HIDDEN_ITEM_58
0x35B	HIDDEN ITEM	Rock Tunnel		X Accuracy		FH_HIDDEN_ITEM_59
0x35C	HIDDEN ITEM	Rock Tunnel		X Defense		FH_HIDDEN_ITEM_60
0x35D	HIDDEN ITEM	Rock Tunnel		Max Potion		FH_HIDDEN_ITEM_61
0x35E	HIDDEN ITEM	Bell Tower		Max Potion		FH_HIDDEN_ITEM_62
0x35F	HIDDEN ITEM	Bell Tower		Full Restore		FH_HIDDEN_ITEM_63
0x360	HIDDEN ITEM	Bell Tower		Carbos		FH_HIDDEN_ITEM_64
0x361	HIDDEN ITEM	Burned Tower		Antidote		FH_HIDDEN_ITEM_65
0x362	HIDDEN ITEM	Lighthouse		Hyper Potion		FH_HIDDEN_ITEM_66
0x363	HIDDEN ITEM	Goldenrod City		Antidote		FH_HIDDEN_ITEM_67
0x364	HIDDEN ITEM	Goldenrod City		Max Potion		FH_HIDDEN_ITEM_68
0x365	HIDDEN ITEM	Goldenrod City		Revive		FH_HIDDEN_ITEM_69
0x366	HIDDEN ITEM	Ice Path		Max Potion		FH_HIDDEN_ITEM_70
0x367	HIDDEN ITEM	Ice Path		Carbos		FH_HIDDEN_ITEM_71
0x368	HIDDEN ITEM	Ice Path		Ice Heal		FH_HIDDEN_ITEM_72
0x369	HIDDEN ITEM	Whirl Islands		Rare Candy		FH_HIDDEN_ITEM_73
0x36A	HIDDEN ITEM	Whirl Islands		Ultra Ball		FH_HIDDEN_ITEM_74
0x36B	HIDDEN ITEM	Whirl Islands		Full Restore		FH_HIDDEN_ITEM_75
0x36C	HIDDEN ITEM	Mt. Silver Cave		Dire Hit		FH_HIDDEN_ITEM_76
0x36D	HIDDEN ITEM	Mt. Silver Cave		Ultra Ball		FH_HIDDEN_ITEM_77
0x36E	HIDDEN ITEM	Mt. Silver Cave		Max Potion		FH_HIDDEN_ITEM_78
0x36F	HIDDEN ITEM	Victory Road		Max Potion		FH_HIDDEN_ITEM_79
0x370	HIDDEN ITEM	Victory Road		Full Heal		FH_HIDDEN_ITEM_80
0x371	HIDDEN ITEM	Dragon's Den		Revive		FH_HIDDEN_ITEM_81
0x372	HIDDEN ITEM	Dragon's Den		Max Potion		FH_HIDDEN_ITEM_82
0x373	HIDDEN ITEM	Dragon's Den		Max Elixir		FH_HIDDEN_ITEM_83
0x374	HIDDEN ITEM	S.S. Aqua		Iron		FH_HIDDEN_ITEM_84
0x375	HIDDEN ITEM	Viridian Forest		Max Ether		FH_HIDDEN_ITEM_85
0x376	HIDDEN ITEM	Olivine City		Protein		FH_HIDDEN_ITEM_86
0x377	HIDDEN ITEM	Viridian Forest		Full Restore		FH_HIDDEN_ITEM_87
0x378	HIDDEN ITEM	Seafoam Islands		Escape Rope		FH_HIDDEN_ITEM_88
0x379	HIDDEN ITEM	Seafoam Islands		Ice Heal		FH_HIDDEN_ITEM_89
0x37A	HIDDEN ITEM	Seafoam Islands		Pearl		FH_HIDDEN_ITEM_90
0x37B	HIDDEN ITEM	Seafoam Islands		Pearl		FH_HIDDEN_ITEM_91
0x37C	HIDDEN ITEM	Seafoam Islands		Max Revive		FH_HIDDEN_ITEM_92
0x37D	HIDDEN ITEM	Cerulean Cave		Hyper Potion		FH_HIDDEN_ITEM_93
0x37E	HIDDEN ITEM	Cerulean Cave		Rare Candy		FH_HIDDEN_ITEM_94
0x37F	HIDDEN ITEM	Cerulean Cave		Revive		FH_HIDDEN_ITEM_95
0x380	HIDDEN ITEM	Cerulean Cave		Ultra Ball		FH_HIDDEN_ITEM_96
0x381	HIDDEN ITEM	Route 32		Super Potion		FH_HIDDEN_ITEM_97
0x382	HIDDEN ITEM	Route 39		Nugget		FH_HIDDEN_ITEM_98
0x383	HIDDEN ITEM	Route 41		Max Ether		FH_HIDDEN_ITEM_99
0x384	HIDDEN ITEM	Route 44		Elixir		FH_HIDDEN_ITEM_100
0x385	HIDDEN ITEM	Route 45		PP Up		FH_HIDDEN_ITEM_101
0x386	HIDDEN ITEM	Lake of Rage		Max Potion		FH_HIDDEN_ITEM_102
0x387	HIDDEN ITEM	Vermilion City		Full Heal		FH_HIDDEN_ITEM_103
0x388	HIDDEN ITEM	Route 11		Revive		FH_HIDDEN_ITEM_104
0x389	HIDDEN ITEM	Route 9		Ether		FH_HIDDEN_ITEM_105
0x38A	HIDDEN ITEM	Cerulean City		Nugget		FH_HIDDEN_ITEM_106
0x38B	HIDDEN ITEM	Route 25		Revive		FH_HIDDEN_ITEM_107
0x38C	HIDDEN ITEM	Violet City		Poke Ball		FH_HIDDEN_ITEM_108
0x38D	HIDDEN ITEM	Route 17		Max Ether		FH_HIDDEN_ITEM_109
0x38E	HIDDEN ITEM	Route 17		Max Elixir		FH_HIDDEN_ITEM_110
0x38F	HIDDEN ITEM	Route 13		Calcium		FH_HIDDEN_ITEM_111
0x390	HIDDEN ITEM	Route 12		Elixir		FH_HIDDEN_ITEM_112
0x391	HIDDEN ITEM	Route 4		Ultra Ball		FH_HIDDEN_ITEM_113
0x392	HIDDEN ITEM	Cinnabar Island		Rare Candy		FH_HIDDEN_ITEM_114
0x393	HIDDEN ITEM	Route 28		Rare Candy		FH_HIDDEN_ITEM_115
0x394	HIDDEN ITEM	Mt. Silver		Full Restore		FH_HIDDEN_ITEM_116
0x395	HIDDEN ITEM	Cerulean Cave		PP Up		FH_HIDDEN_ITEM_117
0x396	HIDDEN ITEM	Cerulean Cave		Big Pearl		FH_HIDDEN_ITEM_118
0x397	HIDDEN ITEM	Cerulean Cave		Zinc		FH_HIDDEN_ITEM_119
0x398	HIDDEN ITEM	Cerulean Cave		Full Heal		FH_HIDDEN_ITEM_120
0x399	HIDDEN ITEM	Cerulean Cave		Max Revive		FH_HIDDEN_ITEM_121
0x39A	HIDDEN ITEM	Celadon City		PP Up		FH_HIDDEN_ITEM_122
0x39B	HIDDEN ITEM	Cerulean Cave		Ultra Ball		FH_HIDDEN_ITEM_123
0x39C	HIDDEN ITEM	Cerulean Cave		Nugget		FH_HIDDEN_ITEM_124
0x39D	HIDDEN ITEM	Bellchime Trail		Tinymushroom		FH_HIDDEN_ITEM_125
0x39E	HIDDEN ITEM	Bellchime Trail		Big Mushroom		FH_HIDDEN_ITEM_126
0x39F	HIDDEN ITEM	Bellchime Trail		Big Mushroom		FH_HIDDEN_ITEM_127
0x3A0	HIDDEN ITEM	Bellchime Trail		Tinymushroom		FH_HIDDEN_ITEM_128
0x3A1	HIDDEN ITEM	Bellchime Trail		Tinymushroom		FH_HIDDEN_ITEM_129
0x3A2	HIDDEN ITEM	Safari Zone Gate		Tinymushroom		FH_HIDDEN_ITEM_130
0x3A3	HIDDEN ITEM	Safari Zone Gate		Tinymushroom		FH_HIDDEN_ITEM_131
0x3A4	HIDDEN ITEM	Ecruteak City		Rare Candy		FH_HIDDEN_ITEM_132
0x3A5	HIDDEN ITEM	Ecruteak City		Ultra Ball		FH_HIDDEN_ITEM_133
0x3A6	HIDDEN ITEM	Fuchsia City		Nugget		FH_HIDDEN_ITEM_134
0x3A7	HIDDEN ITEM	Route 39		PP Up		FH_HIDDEN_ITEM_135
0x3A8	HIDDEN ITEM	Route 39		X Attack		FH_HIDDEN_ITEM_136
0x3A9	HIDDEN ITEM	Route 39		Full Heal		FH_HIDDEN_ITEM_137
0x3AA	HIDDEN ITEM	Route 3		Star Piece		FH_HIDDEN_ITEM_138
0x3AB	HIDDEN ITEM	Route 3		Hyper Potion		FH_HIDDEN_ITEM_139
0x3AC	HIDDEN ITEM	Mt. Mortar		Rare Candy		FH_HIDDEN_ITEM_140
0x3AD	HIDDEN ITEM	Mt. Mortar		Ultra Ball		FH_HIDDEN_ITEM_141
0x3AE	HIDDEN ITEM	Mt. Mortar		Nugget		FH_HIDDEN_ITEM_142
0x3AF	HIDDEN ITEM	Mt. Mortar		Hyper Potion		FH_HIDDEN_ITEM_143
0x3B0	HIDDEN ITEM	Mt. Mortar		Full Heal		FH_HIDDEN_ITEM_144
0x3B1	HIDDEN ITEM	Route 3		Star Piece		FH_HIDDEN_ITEM_145
0x3B2	HIDDEN ITEM	Ruins of Alph		Great Ball		FH_HIDDEN_ITEM_146
0x3B3	HIDDEN ITEM	Ruins of Alph		Big Mushroom		FH_HIDDEN_ITEM_147
0x3B4	HIDDEN ITEM	Ruins of Alph		Tinymushroom		FH_HIDDEN_ITEM_148
